Município	Cap I	Total
351130 Cedral	6	6
351140 Cerqueira César	4	4
351150 Cerquilho	11	11
351160 Cesário Lange	2	2
351170 Charqueada	4	4
355720 Chavantes	2	2
351200 Colina	6	6
351210 Colômbia	4	4
351220 Conchal	12	12
351230 Conchas	8	8
351240 Cordeirópolis	7	7
351260 Coronel Macedo	3	3
351280 Cosmópolis	10	10
351290 Cosmorama	1	1
351300 Cotia	41	41
351310 Cravinhos	7	7
351320 Cristais Paulista	1	1
351330 Cruzália	2	2
351340 Cruzeiro	29	29
351350 Cubatão	39	39
351360 Cunha	2	2
351370 Descalvado	7	7
351380 Diadema	67	67
351385 Dirce Reis	2	2
351400 Dobrada	2	2
351410 Dois Córregos	6	6
351420 Dolcinópolis	2	2
351430 Dourado	3	3
351440 Dracena	15	15
351450 Duartina	3	3
351460 Dumont	1	1
351470 Echaporã	4	4
351480 Eldorado	4	4
351490 Elias Fausto	8	8
351492 Elisiário	1	1
351500 Embu das Artes	57	57
351510 Embu-Guaçu	15	15
351515 Engenheiro Coelho	3	3
351518 Espírito Santo do Pinhal	13	13
351519 Espírito Santo do Turvo	2	2
355730 Estiva Gerbi	5	5
351520 Estrela d'Oeste	2	2
351530 Estrela do Norte	1	1
351535 Euclides da Cunha Paulista	4	4
351540 Fartura	5	5
351560 Fernando Prestes	1	1
351550 Fernandópolis	22	22
351565 Fernão	1	1
351570 Ferraz de Vasconcelos	41	41
351590 Floreal	1	1
351600 Flórida Paulista	6	6
351610 Florínia	2	2
351620 Franca	113	113
351630 Francisco Morato	38	38
351640 Franco da Rocha	36	36
351650 Gabriel Monteiro	1	1
351660 Gália	2	2
351670 Garça	7	7
351680 Gastão Vidigal	2	2
351685 Gavião Peixoto	1	1
351690 General Salgado	4	4
351700 Getulina	3	3
351710 Glicério	2	2
351730 Guaimbê	3	3
351740 Guaíra	26	26
351750 Guapiaçu	4	4
351760 Guapiara	6	6
351770 Guará	4	4
351780 Guaraçaí	2	2
351790 Guaraci	2	2
351820 Guararapes	12	12
351830 Guararema	4	4
351840 Guaratinguetá	38	38
351850 Guareí	3	3
351860 Guariba	18	18
351870 Guarujá	124	124
351880 Guarulhos	251	251
351890 Guzolândia	1	1
351900 Herculândia	5	5
351905 Holambra	5	5
351907 Hortolândia	47	47
351910 Iacanga	5	5
351920 Iacri	2	2
351925 Iaras	1	1
351930 Ibaté	6	6
351940 Ibirá	1	1
351950 Ibirarema	1	1
351960 Ibitinga	10	10
351970 Ibiúna	18	18
351980 Icém	2	2
351990 Iepê	1	1
352000 Igaraçu do Tietê	10	10
352010 Igarapava	11	11
352020 Igaratá	2	2
352030 Iguape	5	5
352042 Ilha Comprida	6	6
352044 Ilha Solteira	8	8
352040 Ilhabela	5	5
352050 Indaiatuba	46	46
352070 Indiaporã	3	3
352090 Ipaussu	4	4
352100 Iperó	6	6
352110 Ipeúna	1	1
352115 Ipiguá	1	1
352120 Iporanga	1	1
352130 Ipuã	2	2
352140 Iracemápolis	4	4
352150 Irapuã	1	1
352160 Irapuru	2	2
352170 Itaberá	4	4
352180 Itaí	9	9
352190 Itajobi	3	3
352200 Itaju	3	3
352210 Itanhaém	34	34
352215 Itaóca	1	1
352220 Itapecerica da Serra	36	36
352230 Itapetininga	40	40
352240 Itapeva	14	14
352250 Itapevi	47	47
352260 Itapira	24	24
352270 Itápolis	18	18
352280 Itaporanga	4	4
352290 Itapuí	3	3
352300 Itapura	1	1
352310 Itaquaquecetuba	84	84
352320 Itararé	7	7
352330 Itariri	6	6
352340 Itatiba	26	26
352350 Itatinga	5	5
352360 Itirapina	3	3
352370 Itirapuã	1	1
352380 Itobi	1	1
352390 Itu	58	58
352400 Itupeva	10	10
352410 Ituverava	14	14
352420 Jaborandi	2	2
352430 Jaboticabal	18	18
352440 Jacareí	65	65
352450 Jaci	3	3
352460 Jacupiranga	7	7
352470 Jaguariúna	10	10
352480 Jales	19	19
352490 Jambeiro	1	1
352500 Jandira	27	27
352510 Jardinópolis	9	9
352520 Jarinu	8	8
352530 Jaú	39	39
352540 Jeriquara	1	1
352550 Joanópolis	2	2
352560 João Ramalho	4	4
352570 José Bonifácio	13	13
352580 Júlio Mesquita	5	5
352590 Jundiaí	91	91
352600 Junqueirópolis	1	1
352610 Juquiá	6	6
352620 Juquitiba	9	9
352630 Lagoinha	2	2
352640 Laranjal Paulista	4	4
352650 Lavínia	3	3
352660 Lavrinhas	1	1
352670 Leme	34	34
352680 Lençóis Paulista	23	23
352690 Limeira	98	98
352700 Lindóia	1	1
352710 Lins	20	20
352720 Lorena	44	44
352725 Lourdes	1	1
352730 Louveira	3	3
352740 Lucélia	4	4
352760 Luís Antônio	3	3
352770 Luiziânia	1	1
352800 Macatuba	2	2
352810 Macaubal	1	1
352840 Mairinque	9	9
352850 Mairiporã	19	19
352870 Marabá Paulista	1	1
352880 Maracaí	2	2
352900 Marília	89	89
352920 Martinópolis	6	6
352930 Matão	20	20
352940 Mauá	91	91
352950 Mendonça	1	1
352960 Meridiano	1	1
352970 Miguelópolis	5	5
352980 Mineiros do Tietê	7	7
353000 Mira Estrela	1	1
352990 Miracatu	5	5
353010 Mirandópolis	6	6
353020 Mirante do Paranapanema	6	6
353030 Mirassol	23	23
353040 Mirassolândia	3	3
353050 Mococa	9	9
353060 Mogi das Cruzes	89	89
353070 Mogi Guaçu	39	39
353080 Mogi Mirim	37	37
353090 Mombuca	1	1
353110 Mongaguá	16	16
353120 Monte Alegre do Sul	4	4
353130 Monte Alto	15	15
353140 Monte Aprazível	8	8
353150 Monte Azul Paulista	7	7
353160 Monte Castelo	3	3
353180 Monte Mor	13	13
353170 Monteiro Lobato	2	2
353190 Morro Agudo	8	8
353200 Morungaba	7	7
353210 Murutinga do Sul	3	3
353220 Narandiba	2	2
353230 Natividade da Serra	2	2
353240 Nazaré Paulista	5	5
353250 Neves Paulista	4	4
353260 Nhandeara	2	2
353270 Nipoã	2	2
353280 Nova Aliança	5	5
353284 Nova Canaã Paulista	1	1
353286 Nova Castilho	1	1
353290 Nova Europa	6	6
353300 Nova Granada	5	5
353310 Nova Guataporanga	3	3
353340 Nova Odessa	7	7
353325 Novais	2	2
353350 Novo Horizonte	5	5
353360 Nuporanga	1	1
353380 Óleo	1	1
353390 Olímpia	8	8
353400 Onda Verde	6	6
353410 Oriente	2	2
353420 Orindiúva	3	3
353430 Orlândia	5	5
353440 Osasco	160	160
353450 Oscar Bressane	1	1
353460 Osvaldo Cruz	13	13
353470 Ourinhos	34	34
353475 Ouroeste	4	4
353490 Pacaembu	7	7
353500 Palestina	3	3
353510 Palmares Paulista	3	3
353520 Palmeira d'Oeste	3	3
353530 Palmital	10	10
353540 Panorama	4	4
353550 Paraguaçu Paulista	17	17
353560 Paraibuna	4	4
353580 Paranapanema	4	4
353590 Paranapuã	2	2
353600 Parapuã	1	1
353610 Pardinho	2	2
353620 Pariquera-Açu	5	5
353625 Parisi	1	1
353630 Patrocínio Paulista	2	2
353650 Paulínia	13	13
353660 Paulo de Faria	5	5
353670 Pederneiras	7	7
353680 Pedra Bela	2	2
353700 Pedregulho	2	2
353710 Pedreira	7	7
353715 Pedrinhas Paulista	1	1
353720 Pedro de Toledo	1	1
353730 Penápolis	21	21
353740 Pereira Barreto	9	9
353750 Pereiras	2	2
353760 Peruíbe	22	22
353770 Piacatu	1	1
353780 Piedade	10	10
353790 Pilar do Sul	3	3
353800 Pindamonhangaba	22	22
353810 Pindorama	4	4
353820 Pinhalzinho	2	2
353850 Piquete	6	6
353860 Piracaia	4	4
353870 Piracicaba	108	108
353890 Pirajuí	13	13
353900 Pirangi	6	6
353910 Pirapora do Bom Jesus	5	5
353920 Pirapozinho	5	5
353930 Pirassununga	25	25
353940 Piratininga	2	2
353950 Pitangueiras	11	11
353960 Planalto	1	1
353970 Platina	1	1
353980 Poá	23	23
354000 Pompéia	8	8
354020 Pontal	10	10
354030 Pontes Gestal	1	1
354040 Populina	1	1
354050 Porangaba	3	3
354060 Porto Feliz	12	12
354070 Porto Ferreira	20	20
354075 Potim	4	4
354080 Potirendaba	4	4
354090 Pradópolis	4	4
354100 Praia Grande	99	99
354110 Presidente Alves	3	3
354120 Presidente Bernardes	1	1
354130 Presidente Epitácio	6	6
354140 Presidente Prudente	84	84
354150 Presidente Venceslau	13	13
354160 Promissão	6	6
354165 Quadra	1	1
354170 Quatá	1	1
354190 Queluz	4	4
354210 Rafard	3	3
354220 Rancharia	15	15
354230 Redenção da Serra	1	1
354240 Regente Feijó	7	7
354250 Reginópolis	1	1
354260 Registro	10	10
354270 Restinga	2	2
354300 Ribeirão Branco	3	3
354320 Ribeirão do Sul	3	3
354323 Ribeirão dos Índios	1	1
354325 Ribeirão Grande	2	2
354330 Ribeirão Pires	22	22
354340 Ribeirão Preto	177	177
354360 Rifaina	1	1
354370 Rincão	1	1
354390 Rio Claro	66	66
354400 Rio das Pedras	7	7
354410 Rio Grande da Serra	15	15
354420 Riolândia	1	1
354425 Rosana	3	3
354430 Roseira	5	5
354440 Rubiácea	1	1
354450 Rubinéia	4	4
354460 Sabino	1	1
354480 Sales	4	4
354500 Salesópolis	1	1
354510 Salmourão	3	3
354515 Saltinho	3	3
354520 Salto	28	28
354530 Salto de Pirapora	9	9
354540 Salto Grande	3	3
354550 Sandovalina	2	2
354560 Santa Adélia	7	7
354570 Santa Albertina	3	3
354580 Santa Bárbara d'Oeste	45	45
354600 Santa Branca	7	7
354630 Santa Cruz das Palmeiras	5	5
354640 Santa Cruz do Rio Pardo	14	14
354650 Santa Ernestina	2	2
354660 Santa Fé do Sul	15	15
354670 Santa Gertrudes	6	6
354680 Santa Isabel	8	8
354690 Santa Lúcia	1	1
354710 Santa Mercedes	2	2
354740 Santa Rita d'Oeste	1	1
354750 Santa Rita do Passa Quatro	10	10
354760 Santa Rosa de Viterbo	5	5
354720 Santana da Ponte Pensa	1	1
354730 Santana de Parnaíba	22	22
354770 Santo Anastácio	5	5
354780 Santo André	171	171
354790 Santo Antônio da Alegria	7	7
354800 Santo Antônio de Posse	6	6
354805 Santo Antônio do Aracanguá	4	4
354820 Santo Antônio do Pinhal	1	1
354830 Santo Expedito	2	2
354840 Santópolis do Aguapeí	1	1
354850 Santos	163	163
354860 São Bento do Sapucaí	1	1
354870 São Bernardo do Campo	153	153
354880 São Caetano do Sul	57	57
354890 São Carlos	57	57
354910 São João da Boa Vista	29	29
354920 São João das Duas Pontes	2	2
354930 São João do Pau d'Alho	1	1
354940 São Joaquim da Barra	12	12
354950 São José da Bela Vista	2	2
354970 São José do Rio Pardo	7	7
354980 São José do Rio Preto	160	160
354990 São José dos Campos	190	190
354995 São Lourenço da Serra	4	4
355000 São Luís do Paraitinga	2	2
355010 São Manuel	3	3
355020 São Miguel Arcanjo	5	5
355030 São Paulo	2693	2693
355040 São Pedro	8	8
355050 São Pedro do Turvo	4	4
355060 São Roque	24	24
355070 São Sebastião	19	19
355080 São Sebastião da Grama	1	1
355090 São Simão	3	3
355100 São Vicente	113	113
355110 Sarapuí	5	5
355130 Sebastianópolis do Sul	1	1
355140 Serra Azul	6	6
355160 Serra Negra	6	6
355150 Serrana	6	6
355170 Sertãozinho	38	38
355180 Sete Barras	2	2
355190 Severínia	2	2
355200 Silveiras	2	2
355210 Socorro	3	3
355220 Sorocaba	197	197
355230 Sud Mennucci	1	1
355240 Sumaré	59	59
355255 Suzanápolis	1	1
355250 Suzano	46	46
355260 Tabapuã	6	6
355270 Tabatinga	3	3
355280 Taboão da Serra	56	56
355290 Taciba	1	1
355300 Taguaí	2	2
355310 Taiaçu	1	1
355320 Taiúva	1	1
355330 Tambaú	7	7
355340 Tanabi	4	4
355350 Tapiraí	2	2
355365 Taquaral	3	3
355370 Taquaritinga	22	22
355380 Taquarituba	15	15
355390 Tarabai	2	2
355395 Tarumã	4	4
355400 Tatuí	42	42
355410 Taubaté	60	60
355420 Tejupá	1	1
355430 Teodoro Sampaio	7	7
355440 Terra Roxa	6	6
355450 Tietê	6	6
355470 Torrinha	2	2
355475 Trabiju	1	1
355480 Tremembé	9	9
355490 Três Fronteiras	1	1
355495 Tuiuti	1	1
355500 Tupã	20	20
355510 Tupi Paulista	9	9
355535 Ubarana	5	5
355540 Ubatuba	25	25
355550 Ubirajara	2	2
355560 Uchoa	5	5
355580 Urânia	5	5
355600 Urupês	2	2
355610 Valentim Gentil	4	4
355620 Valinhos	28	28
355630 Valparaíso	5	5
355635 Vargem	4	4
355640 Vargem Grande do Sul	7	7
355645 Vargem Grande Paulista	3	3
355650 Várzea Paulista	15	15
355660 Vera Cruz	4	4
355670 Vinhedo	20	20
355680 Viradouro	4	4
355690 Vista Alegre do Alto	1	1
355695 Vitória Brasil	1	1
355700 Votorantim	26	26
355710 Votuporanga	22	22
350000 Município ignorado - SP	23	23
410010 Abatiá	1	1
410030 Agudos do Sul	2	2
410040 Almirante Tamandaré	29	29
410060 Alto Paraná	6	6
410070 Alto Piquiri	5	5
410050 Altônia	22	22
410080 Alvorada do Sul	4	4
410090 Amaporã	2	2
410100 Ampére	2	2
410110 Andirá	4	4
410115 Ângulo	2	2
410120 Antonina	12	12
410130 Antônio Olinto	3	3
410140 Apucarana	29	29
410150 Arapongas	20	20
410160 Arapoti	3	3
410165 Arapuã	1	1
410170 Araruna	5	5
410180 Araucária	34	34
410190 Assaí	8	8
410200 Assis Chateaubriand	11	11
410210 Astorga	4	4
410220 Atalaia	1	1
410230 Balsa Nova	3	3
410240 Bandeirantes	10	10
410250 Barbosa Ferraz	3	3
410270 Barra do Jacaré	1	1
410260 Barracão	1	1
410275 Bela Vista da Caroba	1	1
410280 Bela Vista do Paraíso	4	4
410290 Bituruna	6	6
410304 Boa Ventura de São Roque	3	3
410310 Bocaiúva do Sul	3	3
410320 Bom Sucesso	1	1
410322 Bom Sucesso do Sul	1	1
410330 Borrazópolis	3	3
410337 Brasilândia do Sul	3	3
410340 Cafeara	1	1
410345 Cafelândia	1	1
410347 Cafezal do Sul	1	1
410350 Califórnia	1	1
410360 Cambará	3	3
410370 Cambé	16	16
410390 Campina da Lagoa	1	1
410395 Campina do Simão	1	1
410400 Campina Grande do Sul	16	16
410410 Campo do Tenente	2	2
410420 Campo Largo	30	30
410425 Campo Magro	9	9
410430 Campo Mourão	14	14
410440 Cândido de Abreu	4	4
410445 Cantagalo	1	1
410450 Capanema	9	9
410460 Capitão Leônidas Marques	2	2
410465 Carambeí	4	4
410470 Carlópolis	6	6
410480 Cascavel	49	49
410490 Castro	14	14
410510 Centenário do Sul	2	2
410520 Cerro Azul	2	2
410530 Céu Azul	1	1
410540 Chopinzinho	5	5
410550 Cianorte	14	14
410560 Cidade Gaúcha	1	1
410570 Clevelândia	5	5
410580 Colombo	57	57
410590 Colorado	2	2
410600 Congonhinhas	2	2
410620 Contenda	3	3
410630 Corbélia	4	4
410640 Cornélio Procópio	8	8
410645 Coronel Domingos Soares	4	4
410650 Coronel Vivida	8	8
410680 Cruz Machado	1	1
410657 Cruzeiro do Iguaçu	2	2
410660 Cruzeiro do Oeste	6	6
410690 Curitiba	418	418
410700 Curiúva	4	4
410715 Diamante D'Oeste	4	4
410720 Dois Vizinhos	10	10
410725 Douradina	3	3
410730 Doutor Camargo	2	2
410740 Enéas Marques	1	1
410750 Engenheiro Beltrão	4	4
410752 Esperança Nova	1	1
410754 Espigão Alto do Iguaçu	2	2
410760 Faxinal	9	9
410765 Fazenda Rio Grande	22	22
410773 Fernandes Pinheiro	1	1
410775 Figueira	1	1
410785 Flor da Serra do Sul	1	1
410780 Floraí	1	1
410790 Floresta	4	4
410800 Florestópolis	1	1
410820 Formosa do Oeste	2	2
410830 Foz do Iguaçu	63	63
410845 Foz do Jordão	1	1
410832 Francisco Alves	4	4
410840 Francisco Beltrão	12	12
410850 General Carneiro	3	3
410855 Godoy Moreira	4	4
410860 Goioerê	6	6
410870 Grandes Rios	1	1
410880 Guaíra	4	4
410890 Guairaçá	1	1
410900 Guapirama	2	2
410920 Guaraci	1	1
410930 Guaraniaçu	1	1
410940 Guarapuava	19	19
410950 Guaraqueçaba	3	3
410960 Guaratuba	20	20
410970 Ibaiti	4	4
410980 Ibiporã	12	12
410990 Icaraíma	4	4
411000 Iguaraçu	1	1
411007 Imbaú	3	3
411010 Imbituva	2	2
411020 Inácio Martins	2	2
411030 Inajá	1	1
411050 Ipiranga	3	3
411060 Iporã	4	4
411065 Iracema do Oeste	1	1
411070 Irati	4	4
411090 Itaguajé	1	1
411095 Itaipulândia	1	1
411100 Itambaracá	1	1
411110 Itambé	3	3
411120 Itapejara d'Oeste	2	2
411125 Itaperuçu	2	2
411150 Ivaiporã	8	8
411155 Ivaté	1	1
411180 Jacarezinho	9	9
411190 Jaguapitã	2	2
411200 Jaguariaíva	3	3
411210 Jandaia do Sul	3	3
411220 Janiópolis	2	2
411230 Japira	1	1
411250 Jardim Alegre	2	2
411270 Jataizinho	2	2
411275 Jesuítas	1	1
411280 Joaquim Távora	6	6
411290 Jundiaí do Sul	1	1
411295 Juranda	1	1
411310 Kaloré	2	2
411320 Lapa	19	19
411330 Laranjeiras do Sul	7	7
411340 Leópolis	1	1
411342 Lidianópolis	1	1
411345 Lindoeste	1	1
411350 Loanda	8	8
411360 Lobato	2	2
411370 Londrina	112	112
411373 Luiziana	1	1
411375 Lunardelli	3	3
411380 Lupionópolis	1	1
411390 Mallet	1	1
411400 Mamborê	1	1
411420 Mandaguari	7	7
411430 Mandirituba	10	10
411435 Manfrinópolis	1	1
411440 Mangueirinha	3	3
411450 Manoel Ribas	1	1
411460 Marechal Cândido Rondon	11	11
411470 Maria Helena	3	3
411480 Marialva	6	6
411490 Marilândia do Sul	1	1
411510 Mariluz	5	5
411520 Maringá	64	64
411540 Marmeleiro	2	2
411550 Marumbi	1	1
411560 Matelândia	3	3
411570 Matinhos	14	14
411575 Mauá da Serra	1	1
411580 Medianeira	10	10
411600 Miraselva	1	1
411605 Missal	1	1
411610 Moreira Sales	2	2
411620 Morretes	1	1
411630 Munhoz de Melo	1	1
411640 Nossa Senhora das Graças	1	1
411660 Nova América da Colina	1	1
411680 Nova Cantu	3	3
411690 Nova Esperança	10	10
411700 Nova Fátima	10	10
411705 Nova Laranjeiras	2	2
411710 Nova Londrina	2	2
411720 Nova Olímpia	5	5
411725 Nova Prata do Iguaçu	4	4
411721 Nova Santa Bárbara	1	1
411722 Nova Santa Rosa	2	2
411730 Ortigueira	1	1
411745 Ouro Verde do Oeste	2	2
411750 Paiçandu	8	8
411760 Palmas	10	10
411770 Palmeira	5	5
411780 Palmital	1	1
411790 Palotina	5	5
411810 Paranacity	1	1
411820 Paranaguá	66	66
411840 Paranavaí	24	24
411845 Pato Bragado	1	1
411850 Pato Branco	16	16
411860 Paula Freitas	2	2
411880 Peabiru	2	2
411890 Pérola	8	8
411900 Pérola d'Oeste	1	1
411915 Pinhais	30	30
411920 Pinhalão	4	4
411930 Pinhão	3	3
411940 Piraí do Sul	11	11
411950 Piraquara	33	33
411960 Pitanga	4	4
411965 Pitangueiras	1	1
411970 Planaltina do Paraná	1	1
411980 Planalto	2	2
411990 Ponta Grossa	79	79
411995 Pontal do Paraná	8	8
412010 Porto Amazonas	1	1
412015 Porto Barreiro	1	1
412033 Prado Ferreira	2	2
412040 Presidente Castelo Branco	3	3
412050 Primeiro de Maio	2	2
412060 Prudentópolis	5	5
412065 Quarto Centenário	3	3
412070 Quatiguá	1	1
412080 Quatro Barras	9	9
412085 Quatro Pontes	2	2
412090 Quedas do Iguaçu	2	2
412120 Quitandinha	4	4
412125 Ramilândia	2	2
412130 Rancho Alegre	1	1
412140 Realeza	1	1
412150 Rebouças	1	1
412170 Reserva	1	1
412180 Ribeirão Claro	3	3
412190 Ribeirão do Pinhal	8	8
412200 Rio Azul	2	2
412215 Rio Bonito do Iguaçu	3	3
412220 Rio Branco do Sul	5	5
412230 Rio Negro	4	4
412240 Rolândia	14	14
412250 Roncador	2	2
412290 Salto do Itararé	4	4
412300 Salto do Lontra	2	2
412330 Santa Cruz de Monte Castelo	4	4
412340 Santa Fé	1	1
412350 Santa Helena	4	4
412370 Santa Isabel do Ivaí	2	2
412380 Santa Izabel do Oeste	2	2
412382 Santa Lúcia	1	1
412385 Santa Maria do Oeste	1	1
412390 Santa Mariana	2	2
412402 Santa Tereza do Oeste	3	3
412405 Santa Terezinha de Itaipu	2	2
412410 Santo Antônio da Platina	19	19
412440 Santo Antônio do Sudoeste	4	4
412460 São Carlos do Ivaí	1	1
412470 São Jerônimo da Serra	3	3
412480 São João	1	1
412490 São João do Caiuá	4	4
412500 São João do Ivaí	6	6
412510 São João do Triunfo	3	3
412520 São Jorge d'Oeste	1	1
412530 São Jorge do Ivaí	1	1
412535 São Jorge do Patrocínio	4	4
412540 São José da Boa Vista	4	4
412550 São José dos Pinhais	92	92
412555 São Manoel do Paraná	3	3
412560 São Mateus do Sul	5	5
412570 São Miguel do Iguaçu	4	4
412575 São Pedro do Iguaçu	1	1
412580 São Pedro do Ivaí	2	2
412590 São Pedro do Paraná	2	2
412600 São Sebastião da Amoreira	3	3
412620 Sapopema	4	4
412625 Sarandi	22	22
412627 Saudade do Iguaçu	1	1
412630 Sengés	3	3
412650 Sertanópolis	1	1
412660 Siqueira Campos	7	7
412670 Tamboara	1	1
412680 Tapejara	3	3
412690 Tapira	1	1
412700 Teixeira Soares	3	3
412710 Telêmaco Borba	11	11
412720 Terra Boa	2	2
412730 Terra Rica	1	1
412740 Terra Roxa	2	2
412750 Tibagi	3	3
412760 Tijucas do Sul	3	3
412770 Toledo	19	19
412780 Tomazina	4	4
412788 Tunas do Paraná	1	1
412790 Tuneiras do Oeste	2	2
412795 Tupãssi	2	2
412800 Ubiratã	5	5
412810 Umuarama	34	34
412820 União da Vitória	7	7
412855 Vera Cruz do Oeste	1	1
412860 Verê	1	1
412870 Vitorino	2	2
412850 Wenceslau Braz	13	13
412880 Xambrê	2	2
410000 Município ignorado - PR	1	1
420010 Abelardo Luz	4	4
420020 Agrolândia	2	2
420040 Água Doce	1	1
420060 Águas Mornas	2	2
420080 Anchieta	2	2
420100 Anita Garibaldi	2	2
420120 Antônio Carlos	3	3
420125 Apiúna	6	6
420127 Arabutã	2	2
420130 Araquari	10	10
420140 Araranguá	15	15
420160 Arroio Trinta	3	3
420170 Ascurra	3	3
420180 Atalanta	3	3
420190 Aurora	1	1
420195 Balneário Arroio do Silva	4	4
420205 Balneário Barra do Sul	3	3
420200 Balneário Camboriú	35	35
420207 Balneário Gaivota	3	3
421280 Balneário Piçarras	5	5
422000 Balneário Rincão	1	1
420209 Barra Bonita	1	1
420210 Barra Velha	6	6
420213 Bela Vista do Toldo	1	1
420230 Biguaçu	8	8
420240 Blumenau	79	79
420253 Bom Jesus	2	2
420260 Bom Retiro	3	3
420280 Braço do Norte	2	2
420285 Braço do Trombudo	1	1
420287 Brunópolis	1	1
420290 Brusque	19	19
420300 Caçador	14	14
420320 Camboriú	18	18
420330 Campo Alegre	1	1
420350 Campo Erê	1	1
420360 Campos Novos	6	6
420370 Canelinha	2	2
420380 Canoinhas	3	3
420325 Capão Alto	1	1
420390 Capinzal	3	3
420395 Capivari de Baixo	8	8
420400 Catanduvas	2	2
420417 Cerro Negro	2	2
420419 Chapadão do Lageado	1	1
420420 Chapecó	37	37
420425 Cocal do Sul	3	3
420430 Concórdia	13	13
420435 Cordilheira Alta	2	2
420440 Coronel Freitas	1	1
420455 Correia Pinto	4	4
420450 Corupá	4	4
420460 Criciúma	51	51
420470 Cunha Porã	1	1
420480 Curitibanos	13	13
420500 Dionísio Cerqueira	3	3
420517 Entre Rios	1	1
420520 Erval Velho	1	1
420530 Faxinal dos Guedes	4	4
420535 Flor do Sertão	1	1
420540 Florianópolis	106	106
420545 Forquilhinha	2	2
420550 Fraiburgo	8	8
420560 Galvão	1	1
420570 Garopaba	6	6
420580 Garuva	4	4
420590 Gaspar	7	7
420600 Governador Celso Ramos	1	1
420620 Gravatal	3	3
420630 Guabiruba	3	3
420640 Guaraciaba	2	2
420650 Guaramirim	6	6
420660 Guarujá do Sul	1	1
420670 Herval d'Oeste	8	8
420690 Ibirama	10	10
420700 Içara	8	8
420710 Ilhota	1	1
420720 Imaruí	4	4
420730 Imbituba	15	15
420740 Imbuia	1	1
420750 Indaial	9	9
420757 Iomerê	2	2
420760 Ipira	1	1
420765 Iporã do Oeste	2	2
420768 Ipuaçu	3	3
420780 Irani	1	1
420790 Irineópolis	1	1
420810 Itaiópolis	1	1
420820 Itajaí	80	80
420830 Itapema	18	18
420840 Itapiranga	1	1
420845 Itapoá	4	4
420850 Ituporanga	5	5
420860 Jaborá	2	2
420880 Jaguaruna	5	5
420890 Jaraguá do Sul	21	21
420900 Joaçaba	4	4
420910 Joinville	141	141
420915 José Boiteux	1	1
420917 Jupiá	2	2
420920 Lacerdópolis	1	1
420930 Lages	57	57
420940 Laguna	17	17
420945 Lajeado Grande	1	1
420950 Laurentino	3	3
420960 Lauro Muller	3	3
420970 Lebon Régis	4	4
421000 Luiz Alves	3	3
421003 Luzerna	1	1
421005 Macieira	1	1
421010 Mafra	9	9
421030 Major Vieira	1	1
421040 Maracajá	2	2
421050 Maravilha	4	4
421055 Marema	1	1
421060 Massaranduba	4	4
421080 Meleiro	1	1
421090 Modelo	2	2
421100 Mondaí	2	2
421110 Monte Castelo	2	2
421120 Morro da Fumaça	3	3
421130 Navegantes	26	26
421145 Nova Itaberaba	1	1
421160 Nova Veneza	2	2
421170 Orleans	4	4
421175 Otacílio Costa	3	3
421185 Ouro Verde	1	1
421189 Painel	1	1
421190 Palhoça	38	38
421200 Palma Sola	1	1
421210 Palmitos	3	3
421220 Papanduva	1	1
421223 Paraíso	1	1
421225 Passo de Torres	5	5
421240 Pedras Grandes	1	1
421250 Penha	3	3
421265 Pescaria Brava	1	1
421290 Pinhalzinho	2	2
421310 Piratuba	1	1
421320 Pomerode	5	5
421335 Ponte Alta do Norte	1	1
421340 Ponte Serrada	1	1
421350 Porto Belo	3	3
421360 Porto União	11	11
421370 Pouso Redondo	3	3
421380 Praia Grande	1	1
421400 Presidente Getúlio	2	2
421440 Rio das Antas	1	1
421450 Rio do Campo	2	2
421460 Rio do Oeste	1	1
421480 Rio do Sul	30	30
421470 Rio dos Cedros	2	2
421500 Rio Negrinho	11	11
421510 Rodeio	1	1
421530 Salete	1	1
421540 Salto Veloso	1	1
421545 Sangão	2	2
421550 Santa Cecília	6	6
421560 Santa Rosa de Lima	1	1
421565 Santa Rosa do Sul	1	1
421567 Santa Terezinha	1	1
421570 Santo Amaro da Imperatriz	4	4
421580 São Bento do Sul	25	25
421605 São Cristovão do Sul	1	1
421620 São Francisco do Sul	20	20
421630 São João Batista	2	2
421625 São João do Oeste	1	1
421640 São João do Sul	3	3
421650 São Joaquim	5	5
421660 São José	66	66
421670 São José do Cedro	2	2
421680 São José do Cerrito	4	4
421690 São Lourenço do Oeste	7	7
421700 São Ludgero	1	1
421710 São Martinho	1	1
421720 São Miguel do Oeste	4	4
421725 São Pedro de Alcântara	2	2
421740 Schroeder	2	2
421750 Seara	2	2
421760 Siderópolis	5	5
421770 Sombrio	5	5
421780 Taió	4	4
421790 Tangará	3	3
421800 Tijucas	2	2
421810 Timbé do Sul	2	2
421820 Timbó	10	10
421825 Timbó Grande	2	2
421830 Três Barras	4	4
421840 Treze de Maio	1	1
421850 Treze Tílias	1	1
421860 Trombudo Central	1	1
421870 Tubarão	25	25
421875 Tunápolis	2	2
421880 Turvo	2	2
421890 Urubici	2	2
421895 Urupema	1	1
421900 Urussanga	5	5
421917 Vargem Bonita	1	1
421920 Vidal Ramos	4	4
421930 Videira	14	14
421940 Witmarsum	1	1
421950 Xanxerê	12	12
421970 Xaxim	2	2
430005 Água Santa	1	1
430010 Agudo	2	2
